Asset ID,Asset Class,Park ID,Park Name,Asset Type,Asset Size,Primary Field,Location,Installation Date,Asset Description,Geometry Type,Point,Line,Polygon
80592,MONUMENT,1194,Plaza Drive Park,COMMEMORATIVE PLAQUE,N/A,N/A,"(49.819403206632195, -97.14389780981874)",06/01/2017 12:00:00 AM,CN Donated Tree - Canada 150,POINT,POINT (-97.143897809819 49.819403206632),,
118517,SEATING,1158,Grimsby Park,BENCH,N/A,N/A,"(49.81182909838321, -97.10987387523991)",,,POINT,POINT (-97.10987387524 49.811829098383),,
47028,PLAY STRUCTURE,288,Erlandson Park,5 TO 12,SMALL,N/A,"(49.870603658737025, -97.29524153596167)",,,POINT,POINT (-97.295241535962 49.870603658737),,
91631,SEATING,132,Vimy Ridge Memorial Park,BENCH,N/A,N/A,"(49.885637312631786, -97.16764885348758)",,,POINT,POINT (-97.167648853488 49.885637312632),,
23433,SEATING,829,H. S. Paul Park,BENCH,N/A,N/A,"(49.81737730458321, -97.09098021700925)",,,POINT,POINT (-97.090980217009 49.817377304583),,
62854,PLAY STRUCTURE,303,Rivergrove Park,5 TO 12,MEDIUM,N/A,"(49.95765637135593, -97.08314077139639)",,,POINT,POINT (-97.083140771396 49.957656371356),,
40873,PARKING LOT,9,Central Park,N/A,N/A,N/A,"(49.89517135623055, -97.14809072218544)",,,POLYGON,,,"MULTIPOLYGON (((-97.148237960465 49.895350359002, -97.148149831154 49.895185399807, -97.148141322707 49.895169473755, -97.14803677381 49.894973778969, -97.147943483905 49.894995114268, -97.148145615536 49.895368933492, -97.148201808653 49.895357630679, -97.148237960465 49.895350359002)))"
46036,STAND-ALONE PLAY COMPONENT,360,Verbena Park,N/A,N/A,N/A,"(49.94651140810326, -97.14167697323204)",,,POINT,POINT (-97.141676973232 49.946511408103),,
37914,MONUMENT,1385,Parc Elzéar Goulet Park,COMMEMORATIVE PLAQUE,N/A,N/A,"(49.894120891450086, -97.12701219007505)",,Elzéar Goulet,POINT,POINT (-97.127012190075 49.89412089145),,
22227,SEATING,746,Parc Orange Park,BENCH,N/A,N/A,"(49.8935450120592, -97.12353417379447)",,,POINT,POINT (-97.123534173794 49.893545012059),,
62388,SEATING,278,Pat Phillips Park,BENCH,N/A,N/A,"(49.898334846058404, -97.28296412518809)",,,POINT,POINT (-97.282964125188 49.898334846058),,
85298,SEATING,449,Roger Le Grand Park,BENCH,N/A,N/A,"(49.94927067835527, -97.20058045557495)",,,POINT,POINT (-97.200580455575 49.949270678355),,
37766,MONUMENT,143,Westview Park,OTHER,N/A,N/A,"(49.90355649930531, -97.19286545881462)",,Compass (E),POINT,POINT (-97.192865458815 49.903556499305),,
23340,SEATING,778,St. David Park,BENCH,N/A,N/A,"(49.85093361885752, -97.110613602956)",,,POINT,POINT (-97.110613602956 49.850933618858),,
46895,PLAY STRUCTURE,1129,Evesham Key Park,5 TO 12,SMALL,N/A,"(49.84634761883317, -97.26265857287632)",,,POINT,POINT (-97.262658572876 49.846347618833),,
24280,SEATING,790,St. Vital Park,BENCH,N/A,N/A,"(49.83056215035049, -97.13311379745134)",,,POINT,POINT (-97.133113797451 49.83056215035),,
115152,BICYCLE RACK,5181,Jinnah Park,STANDARD,N/A,N/A,"(49.77506511008399, -97.17805413511904)",,,POINT,POINT (-97.178054135119 49.775065110084),,
120248,STAND-ALONE PLAY COMPONENT,665,Waterfront Park,N/A,N/A,N/A,"(49.83872055953198, -97.0601769202489)",,,POINT,POINT (-97.060176920249 49.838720559532),,
22996,SEATING,1299,Charleswood Bridge North,BENCH,N/A,N/A,"(49.87274565574821, -97.26304837813167)",,,POINT,POINT (-97.263048378132 49.872745655748),,
116776,BICYCLE RACK,829,H. S. Paul Park,STANDARD,N/A,N/A,"(49.817202494352685, -97.08923112403517)",,,POINT,POINT (-97.089231124035 49.817202494353),,
124555,SEATING,964,King's Park,BENCH,N/A,N/A,"(49.795414445782676, -97.12152224163717)",,,POINT,POINT (-97.121522241637 49.795414445783),,
73871,SEATING,822,Henteleff Park,BENCH,N/A,N/A,"(49.80755111488483, -97.12395501677483)",,,POINT,POINT (-97.123955016775 49.807551114885),,
22873,SEATING,233,Woodhaven Park C.C,BENCH,N/A,N/A,"(49.873027855481006, -97.2679883867662)",,,POINT,POINT (-97.267988386766 49.873027855481),,
37941,MONUMENT,0,,PILLAR WITH PLAQUE,N/A,N/A,"(49.897604946466025, -97.18717533477341)",,Frederick William Hall,POINT,POINT (-97.187175334773 49.897604946466),,
80267,SEATING,1151,Parc Marlene Street Park,BENCH,N/A,N/A,"(49.84312898231987, -97.08713010055017)",,,POINT,POINT (-97.08713010055 49.84312898232),,
88208,PLAY STRUCTURE,3460,Ray Klassen Park,2 TO 12,MEDIUM,N/A,"(49.909656205722904, -97.05464935030494)",,,POINT,POINT (-97.054649350305 49.909656205723),,
120376,SEATING,345,Kildonan Park,BENCH,N/A,N/A,"(49.94434849663296, -97.11010949862928)",,,POINT,POINT (-97.110109498629 49.944348496633),,
46076,STAND-ALONE PLAY COMPONENT,1056,Stewart-St. Charles Playground,N/A,N/A,N/A,"(49.879456214386565, -97.3194537800541)",,,POINT,POINT (-97.319453780054 49.879456214387),,
109154,SWING SET,6081,Brad Little Park,N/A,2 BAY,N/A,"(49.891396929507444, -96.96208857220527)",,,POINT,POINT (-96.962088572205 49.891396929507),,
45050,STAND-ALONE PLAY COMPONENT,155,Simcoe Tot Lot,N/A,N/A,N/A,"(49.889762297430536, -97.16701048622366)",,,POINT,POINT (-97.167010486224 49.889762297431),,
46209,STAND-ALONE PLAY COMPONENT,237,George Minaker Park,N/A,N/A,N/A,"(49.88046258926142, -97.27178997844204)",,,POINT,POINT (-97.271789978442 49.880462589261),,
62728,MONUMENT,574,J. M. 'Jock' McGeachan Park,BOULDER WITH PLAQUE,N/A,N/A,"(49.904336007244986, -96.98861421400879)",10/01/2013 12:00:00 AM,J. M. ‘Jock’ McGeachan,POINT,POINT (-96.988614214009 49.904336007245),,
52749,STAND-ALONE PLAY COMPONENT,448,Albina Fuga Park,N/A,N/A,N/A,"(49.943259781846045, -97.20372433130511)",,,POINT,POINT (-97.203724331305 49.943259781846),,
126075,SEATING,1313,Kilcona Park,BENCH,N/A,N/A,"(49.932093119687856, -97.0141492062265)",,,POINT,POINT (-97.014149206226 49.932093119688),,
130258,SEATING,344,Beryl Watts Park / Vince Leah C.C,PLAYERS BENCH,N/A,N/A,"(49.95042601962703, -97.11576908811571)",,,POINT,POINT (-97.115769088116 49.950426019627),,
